"","x"
"637",0
"638",35
"639",0
"640",0
"641",0
"642",0
"643",0
"644",0
"645",49
"646",26
"647",0
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",81
"658",41
"659",0
"660",0
"661",0
"662",0
"663",0
"664",63
"665",0
"666",0
"667",0
"668",0
"669",0
"670",0
"671",69
"672",0
"673",0
"674",0
"675",0
"676",0
"677",0
"678",0
"679",0
"680",0
"681",0
"682",0
"683",0
"684",0
"685",0
"686",0
"687",0
"688",54
"689",70
"690",0
"691",41
"692",76
"693",0
"694",0
"695",0
"696",0
"697",92
"698",727
"699",443
"700",1991
"701",526
"702",636
"703",706
"704",322
"705",43
"706",166
"707",135
"708",167
"709",243
"710",321
"711",195
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",146
"727",286
"728",329
"729",320
"730",180
"731",120
"732",136
"733",116
"734",0
"735",0
"736",0
"737",0
"738",0
"739",0
"740",72
"741",0
"742",0
"743",0
"744",0
"745",0
"746",0
"747",0
"748",0
"749",0
"750",0
"751",0
"752",31
"753",0
"754",0
"755",0
"756",0
"757",25
"758",0
"759",0
"760",0
"761",0
"762",0
"763",0
"764",0
"765",0
"766",0
"767",0
"768",0
"769",0
"770",0
"771",0
"772",0
"773",0
"774",0
"775",0
"776",46
"777",111
"778",0
"779",0
"780",0
"781",0
"782",0
"783",0
"784",0
"785",0
"786",0
"787",0
"788",0
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",243
"799",225
"800",549
"801",198
"802",0
"803",0
"804",0
"805",0
"806",58
"807",40
"808",0
"809",0
"810",0
"811",0
"812",0
"813",0
"814",0
"815",0
"816",0
"817",25
"818",0
"819",92
"820",82
"821",0
"822",0
"823",992
"824",70
"825",0
